t,fl_hip,fl_thigh,fl_crank,fr_hip,fr_thigh,fr_crank,rl_hip,rl_thigh,rl_crank,rr_hip,rr_thigh,rr_crank
5.500000000000000028e-02,-0.000000000000000000e+00,6.762471862995132754e-02,1.245777973225604546e-01,-0.000000000000000000e+00,3.002149307581620796e-01,1.699439849893998322e-01,2.220446049250313081e-16,-3.002149307581577498e-01,-1.699439849893472632e-01,0.000000000000000000e+00,-6.762471862995333982e-02,-1.245777973225607460e-01
5.666666666666667074e-02,-0.000000000000000000e+00,6.466013227581007827e-02,1.220464591459954895e-01,-2.220446049250313081e-16,3.016227235007167828e-01,1.665790092202398542e-01,0.000000000000000000e+00,-3.016227235007128415e-01,-1.665790092202070194e-01,0.000000000000000000e+00,-6.466013227581769718e-02,-1.220464591460020815e-01
5.833333333333333426e-02,-0.000000000000000000e+00,6.170088330160720252e-02,1.195114150005287812e-01,-0.000000000000000000e+00,3.029273294517673687e-01,1.630725374229543279e-01,0.000000000000000000e+00,-3.029273294517847437e-01,-1.630725374229584357e-01,0.000000000000000000e+00,-6.170088330160857643e-02,-1.195114150005354564e-01
6.000000000000000472e-02,-0.000000000000000000e+00,5.874701106754013497e-02,1.169726987853751538e-01,-0.000000000000000000e+00,3.041216490458135135e-01,1.594266432871475070e-01,0.000000000000000000e+00,-3.041216490457956390e-01,-1.594266432871817019e-01,0.000000000000000000e+00,-5.874701106754146723e-02,-1.169726987853696859e-01
6.166666666666666824e-02,-0.000000000000000000e+00,5.579855498717459228e-02,1.144303445610151682e-01,-0.000000000000000000e+00,3.051985840951674245e-01,1.556434287430255581e-01,0.000000000000000000e+00,-3.051985840951599305e-01,-1.556434287430158991e-01,0.000000000000000000e+00,-5.579855498717201101e-02,-1.144303445610187209e-01
6.333333333333333870e-02,-0.000000000000000000e+00,5.285555452374909174e-02,1.118843865461838644e-01,-0.000000000000000000e+00,3.061510606637279364e-01,1.517250313433845532e-01,0.000000000000000000e+00,-3.061510606637287690e-01,-1.517250313434277409e-01,0.000000000000000000e+00,-5.285555452375094443e-02,-1.118843865461879861e-01
6.500000000000000222e-02,-0.000000000000000000e+00,4.991804918645622452e-02,1.093348591147147164e-01,-0.000000000000000000e+00,3.069720521682871572e-01,1.476736320277716730e-01,0.000000000000000000e+00,-3.069720521682692826e-01,-1.476736320277497461e-01,0.000000000000000000e+00,-4.991804918645700168e-02,-1.093348591147112053e-01
6.666666666666666574e-02,-0.000000000000000000e+00,4.698607852679478891e-02,1.067817967924376416e-01,-0.000000000000000000e+00,3.076546027020157781e-01,1.434914632627446174e-01,0.000000000000000000e+00,-3.076546027020338192e-01,-1.434914632626891062e-01,0.000000000000000000e+00,-4.698607852679147212e-02,-1.067817967924403755e-01
6.833333333333334314e-02,-0.000000000000000000e+00,4.405968213482173296e-02,1.042252342540661014e-01,-0.000000000000000000e+00,3.081918505690274257e-01,1.391808175496679623e-01,0.000000000000000000e+00,-3.081918505689979493e-01,-1.391808175496004885e-01,0.000000000000000000e+00,-4.405968213482132356e-02,-1.042252342540753163e-01
7.000000000000000666e-02,-0.000000000000000000e+00,4.113889963549907658e-02,1.016652063200599865e-01,-0.000000000000000000e+00,3.085770520103098824e-01,1.347440562762284022e-01,0.000000000000000000e+00,-3.085770520102770753e-01,-1.347440562762650951e-01,0.000000000000000000e+00,-4.113889963549899331e-02,-1.016652063200573358e-01
7.166666666666667018e-02,-0.000000000000000000e+00,3.822377068495329960e-02,9.910174795342430176e-02,-0.000000000000000000e+00,3.088036050939803601e-01,1.301836188848921050e-01,0.000000000000000000e+00,-3.088036050939545474e-01,-1.301836188848869424e-01,0.000000000000000000e+00,-3.822377068495001751e-02,-9.910174795341814002e-02
7.333333333333333370e-02,-0.000000000000000000e+00,3.531433496675875222e-02,9.653489425654754319e-02,-0.000000000000000000e+00,3.088650737329786122e-01,1.255020323158140827e-01,0.000000000000000000e+00,-3.088650737329831641e-01,-1.255020323158277940e-01,0.000000000000000000e+00,-3.531433496676381067e-02,-9.653489425655471801e-02
7.500000000000001110e-02,-0.000000000000000000e+00,3.241063218827035936e-02,9.396468046808456598e-02,-0.000000000000000000e+00,3.087552117829076570e-01,1.207019206775122866e-01,0.000000000000000000e+00,-3.087552117829355236e-01,-1.207019206775185316e-01,0.000000000000000000e+00,-3.241063218826749359e-02,-9.396468046808305330e-02
7.666666666666667462e-02,-0.000000000000000000e+00,2.951270207685292163e-02,9.139114195964266607e-02,-0.000000000000000000e+00,3.084679871628410730e-01,1.157860150821940076e-01,0.000000000000000000e+00,-3.084679871628083214e-01,-1.157860150821164863e-01,0.000000000000000000e+00,-2.951270207685206814e-02,-9.139114195963257692e-02
7.833333333333333814e-02,-0.000000000000000000e+00,2.662058437620432386e-02,8.881431423262173275e-02,-0.000000000000000000e+00,3.079976059296485880e-01,1.107571635766506912e-01,0.000000000000000000e+00,-3.079976059296747337e-01,-1.107571635766820689e-01,0.000000000000000000e+00,-2.662058437620591286e-02,-8.881431423262615976e-02
8.000000000000000167e-02,-0.000000000000000000e+00,2.373431884262126867e-02,8.623423291503580501e-02,-0.000000000000000000e+00,3.073385362260813158e-01,1.056183410871017886e-01,0.000000000000000000e+00,-3.073385362261020215e-01,-1.056183410870663586e-01,0.000000000000000000e+00,-2.373431884262076907e-02,-8.623423291503543031e-02
8.166666666666666519e-02,-0.000000000000000000e+00,2.085394524130187999e-02,8.365093375819042387e-02,-0.000000000000000000e+00,3.064855320090215662e-01,1.003726592851377775e-01,0.000000000000000000e+00,-3.064855320090500435e-01,-1.003726592851000438e-01,0.000000000000000000e+00,-2.085394524129876789e-02,-8.365093375819122878e-02
8.333333333333334259e-02,-0.000000000000000000e+00,1.797950334259571306e-02,8.106445263346838404e-02,-0.000000000000000000e+00,3.054336564548670863e-01,9.502337627454998659e-02,0.000000000000000000e+00,-3.054336564549107180e-01,-9.502337627460118175e-02,0.000000000000000000e+00,-1.797950334259434263e-02,-8.106445263346519214e-02
8.500000000000000611e-02,-0.000000000000000000e+00,1.511103291834458087e-02,7.847482552910486908e-02,-0.000000000000000000e+00,3.041783049257504312e-01,8.957390598835812678e-02,0.000000000000000000e+00,-3.041783049257386073e-01,-8.957390598830103356e-02,0.000000000000000000e+00,-1.511103291833760555e-02,-7.847482552910620135e-02
8.666666666666666963e-02,-0.000000000000000000e+00,1.224857373811292366e-02,7.588208854684713733e-02,-0.000000000000000000e+00,3.027152273704241114e-01,8.402782717497019049e-02,0.000000000000000000e+00,-3.027152273704381558e-01,-8.402782717499601706e-02,0.000000000000000000e+00,-1.224857373811527768e-02,-7.588208854685514482e-02
8.833333333333333315e-02,-0.000000000000000000e+00,9.392165565544204411e-03,7.328627789875556686e-02,-0.000000000000000000e+00,3.010405500233755416e-01,7.838889185022900052e-02,0.000000000000000000e+00,-3.010405500233616638e-01,-7.838889185020153638e-02,0.000000000000000000e+00,-9.392165565536738162e-03,-7.328627789876049348e-02
9.000000000000001055e-02,-0.000000000000000000e+00,6.541848154609761039e-03,7.068742990385208647e-02,-0.000000000000000000e+00,2.991507962557924949e-01,7.266103308033078356e-02,0.000000000000000000e+00,-2.991507962558035971e-01,-7.266103308030402719e-02,0.000000000000000000e+00,-6.541848154607358447e-03,-7.068742990385402936e-02
9.166666666666667407e-02,-0.000000000000000000e+00,3.697661245923333437e-03,6.808558098486237886e-02,-0.000000000000000000e+00,2.970429064265981967e-01,6.684837196113682656e-02,0.000000000000000000e+00,-2.970429064266429386e-01,-6.684837196126156011e-02,0.000000000000000000e+00,-3.697661245920808113e-03,-6.808558098485999188e-02
9.333333333333333759e-02,-0.000000000000000000e+00,8.596445630675616633e-04,6.548076766487959111e-02,-0.000000000000000000e+00,2.947142565736670106e-01,6.095522365512226481e-02,0.000000000000000000e+00,-2.947142565736655673e-01,-6.095522365516375246e-02,0.000000000000000000e+00,-8.596445630677453272e-04,-6.548076766489233091e-02
9.500000000000000111e-02,-0.000000000000000000e+00,-1.972162191100585837e-03,6.287302656414958668e-02,-0.000000000000000000e+00,2.921626757831455312e-01,5.498610234531663837e-02,0.000000000000000000e+00,-2.921626757831312093e-01,-5.498610234518915701e-02,0.000000000000000000e+00,1.972162191106808724e-03,-6.287302656414571478e-02
